['1S', '3C', 'JH']
['1S', '3C', 'QH']
['1S', '3C', 'KH']
['1S', '3C', 'AH']
['1S', '4C', '5C']
['1S', '4C', '6C']
['1S', '4C', '7C']
['1S', '4C', '8C']
['1S', '4C', '9C']
['1S', '4C', '10C']
['1S', '4C', 'JC']
['1S', '4C', 'QC']
['1S', '4C', 'KC']
['1S', '4C', 'AC']
['1S', '4C', '1D']
['1S', '4C', '2D']
['1S', '4C', '3D']
['1S', '4C', '4D']
['1S', '4C', '5D']
['1S', '4C', '6D']
['1S', '4C', '7D']
['1S', '4C', '8D']
['1S', '4C', '9D']
['1S', '4C', '10D']
['1S', '4C', 'JD']
['1S', '4C', 'QD']
['1S', '4C', 'KD']
['1S', '4C', 'AD']
['1S', '4C', '1H']
['1S', '4C', '2H']
['1S', '4C', '3H']
['1S', '4C', '4H']
['1S', '4C', '5H']
['1S', '4C', '6H']
['1S', '4C', '7H']
['1S', '4C', '8H']
['1S', '4C', '9H']
['1S', '4C', '10H']
['1S', '4C', 'JH']
['1S', '4C', 'QH']
['1S', '4C', 'KH']
['1S', '4C', 'AH']
['1S', '5C', '6C']
['1S', '5C', '7C']
['1S', '5C', '8C']
['1S', '5C', '9C']
['1S', '5C', '10C']
['1S', '5C', 'JC']
['1S', '5C', 'QC']
['1S', '5C', 'KC']
['1S', '5C', 'AC']
['1S', '5C', '1D']
['1S', '5C', '2D']
['1S', '5C', '3D']
['1S', '5C', '4D']
['1S', '5C', '5D']
['1S', '5C', '6D']
['1S', '5C', '7D']
['1S', '5C', '8D']
['1S', '5C', '9D']
['1S', '5C', '10D']
['1S', '5C', 'JD']
['1S', '5C', 'QD']
['1S', '5C', 'KD']
['1S', '5C', 'AD']
['1S', '5C', '1H']
['1S', '5C', '2H']
['1S', '5C', '3H']
['1S', '5C', '4H']
['1S', '5C', '5H']
['1S', '5C', '6H']
['1S', '5C', '7H']
['1S', '5C', '8H']
['1S', '5C', '9H']
['1S', '5C', '10H']
['1S', '5C', 'JH']
['1S', '5C', 'QH']
['1S', '5C', 'KH']
['1S', '5C', 'AH']
['1S', '6C', '7C']
['1S', '6C', '8C']
['1S', '6C', '9C']
['1S', '6C', '10C']
['1S', '6C', 'JC']
['1S', '6C', 'QC']
['1S', '6C', 'KC']
['1S', '6C', 'AC']
['1S', '6C', '1D']
['1S', '6C', '2D']
['1S', '6C', '3D']
['1S', '6C', '4D']
['1S', '6C', '5D']
['1S', '6C', '6D']
['1S', '6C', '7D']
['1S', '6C', '8D']
['1S', '6C', '9D']
['1S', '6C', '10D']
['1S', '6C', 'JD']
['1S', '6C', 'QD']
['1S', '6C', 'KD']
['1S', '6C', 'AD']
['1S', '6C', '1H']
['1S', '6C', '2H']
['1S', '6C', '3H']
['1S', '6C', '4H']
['1S', '6C', '5H']
['1S', '6C', '6H']
['1S', '6C', '7H']
['1S', '6C', '8H']
['1S', '6C', '9H']
['1S', '6C', '10H']
['1S', '6C', 'JH']
['1S', '6C', 'QH']
['1S', '6C', 'KH']
['1S', '6C', 'AH']
['1S', '7C', '8C']
['1S', '7C', '9C']
['1S', '7C', '10C']
['1S', '7C', 'JC']
['1S', '7C', 'QC']
['1S', '7C', 'KC']
['1S', '7C', 'AC']
['1S', '7C', '1D']
['1S', '7C', '2D']
['1S', '7C', '3D']
['1S', '7C', '4D']
['1S', '7C', '5D']
['1S', '7C', '6D']
['1S', '7C', '7D']
['1S', '7C', '8D']
['1S', '7C', '9D']
['1S', '7C', '10D']
['1S', '7C', 'JD']
['1S', '7C', 'QD']
['1S', '7C', 'KD']
['1S', '7C', 'AD']
['1S', '7C', '1H']
['1S', '7C', '2H']
['1S', '7C', '3H']
['1S', '7C', '4H']
['1S', '7C', '5H']
['1S', '7C', '6H']
['1S', '7C', '7H']
['1S', '7C', '8H']
['1S', '7C', '9H']
['1S', '7C', '10H']
['1S', '7C', 'JH']
['1S', '7C', 'QH']
['1S', '7C', 'KH']
['1S', '7C', 'AH']
['1S', '8C', '9C']
['1S', '8C', '10C']
['1S', '8C', 'JC']
['1S', '8C', 'QC']
['1S', '8C', 'KC']
['1S', '8C', 'AC']
['1S', '8C', '1D']
['1S', '8C', '2D']
['1S', '8C', '3D']
['1S', '8C', '4D']
['1S', '8C', '5D']
['1S', '8C', '6D']
['1S', '8C', '7D']
['1S', '8C', '8D']
['1S', '8C', '9D']
['1S', '8C', '10D']
['1S', '8C', 'JD']
['1S', '8C', 'QD']
['1S', '8C', 'KD']
['1S', '8C', 'AD']
['1S', '8C', '1H']
['1S', '8C', '2H']
['1S', '8C', '3H']
['1S', '8C', '4H']
['1S', '8C', '5H']
['1S', '8C', '6H']
['1S', '8C', '7H']
['1S', '8C', '8H']
['1S', '8C', '9H']
['1S', '8C', '10H']
['1S', '8C', 'JH']
['1S', '8C', 'QH']
['1S', '8C', 'KH']
['1S', '8C', 'AH']
['1S', '9C', '10C']
['1S', '9C', 'JC']
['1S', '9C', 'QC']
['1S', '9C', 'KC']
['1S', '9C', 'AC']
['1S', '9C', '1D']
['1S', '9C', '2D']
['1S', '9C', '3D']
['1S', '9C', '4D']
['1S', '9C', '5D']
['1S', '9C', '6D']
['1S', '9C', '7D']
['1S', '9C', '8D']
['1S', '9C', '9D']
['1S', '9C', '10D']
['1S', '9C', 'JD']
['1S', '9C', 'QD']
['1S', '9C', 'KD']
['1S', '9C', 'AD']
['1S', '9C', '1H']
['1S', '9C', '2H']
['1S', '9C', '3H']
['1S', '9C', '4H']
['1S', '9C', '5H']
['1S', '9C', '6H']
['1S', '9C', '7H']
['1S', '9C', '8H']
['1S', '9C', '9H']
['1S', '9C', '10H']
['1S', '9C', 'JH']
['1S', '9C', 'QH']
['1S', '9C', 'KH']
['1S', '9C', 'AH']
['1S', '10C', 'JC']
['1S', '10C', 'QC']
['1S', '10C', 'KC']
['1S', '10C', 'AC']
['1S', '10C', '1D']
['1S', '10C', '2D']
['1S', '10C', '3D']
['1S', '10C', '4D']
['1S', '10C', '5D']
['1S', '10C', '6D']
['1S', '10C', '7D']
['1S', '10C', '8D']
['1S', '10C', '9D']
['1S', '10C', '10D']
['1S', '10C', 'JD']
['1S', '10C', 'QD']
['1S', '10C', 'KD']
['1S', '10C', 'AD']
['1S', '10C', '1H']
['1S', '10C', '2H']
['1S', '10C', '3H']
['1S', '10C', '4H']
['1S', '10C', '5H']
['1S', '10C', '6H']
['1S', '10C', '7H']
['1S', '10C', '8H']
['1S', '10C', '9H']
['1S', '10C', '10H']
['1S', '10C', 'JH']
['1S', '10C', 'QH']
['1S', '10C', 'KH']
['1S', '10C', 'AH']
['1S', 'JC', 'QC']
['1S', 'JC', 'KC']
['1S', 'JC', 'AC']
['1S', 'JC', '1D']
['1S', 'JC', '2D']
['1S', 'JC', '3D']
['1S', 'JC', '4D']
['1S', 'JC', '5D']
['1S', 'JC', '6D']
['1S', 'JC', '7D']
['1S', 'JC', '8D']
['1S', 'JC', '9D']
['1S', 'JC', '10D']
['1S', 'JC', 'JD']
['1S', 'JC', 'QD']
['1S', 'JC', 'KD']
['1S', 'JC', 'AD']
['1S', 'JC', '1H']
['1S', 'JC', '2H']
['1S', 'JC', '3H']
['1S', 'JC', '4H']
['1S', 'JC', '5H']
['1S', 'JC', '6H']
['1S', 'JC', '7H']
['1S', 'JC', '8H']
['1S', 'JC', '9H']
['1S', 'JC', '10H']
['1S', 'JC', 'JH']
['1S', 'JC', 'QH']
['1S', 'JC', 'KH']
['1S', 'JC', 'AH']
['1S', 'QC', 'KC']
['1S', 'QC', 'AC']
['1S', 'QC', '1D']
['1S', 'QC', '2D']
['1S', 'QC', '3D']
['1S', 'QC', '4D']
['1S', 'QC', '5D']
['1S', 'QC', '6D']
['1S', 'QC', '7D']
['1S', 'QC', '8D']
['1S', 'QC', '9D']
['1S', 'QC', '10D']
['1S', 'QC', 'JD']
['1S', 'QC', 'QD']
